Model,Query Type,Avg Time (ms),Std Time (ms),Avg Score,Complexity
MiniLM,simple_fact,772.9597091674805,626.559929750047,0.5228600703333334,6.3
MiniLM,procedural,394.04940605163574,20.74483622306148,0.501487106,5.7666666666666675
MiniLM,diagnostic,372.59713808695477,31.907300191229417,0.458298852,5.2
MiniLM,comparison,407.4556827545166,8.488369825650848,0.45069442233333334,7.0666666666666655
MiniLM,specification,378.7909348805745,32.594021676716174,0.43947667566666665,6.2
MiniLM,complex_multi,409.2828432718913,2.8842141159346713,0.504874567,16.133333333333333
MiniLM_Large,simple_fact,749.5381037394205,545.8724374895179,0.36147057,6.3
MiniLM_Large,procedural,419.3418025970459,101.97387630916741,0.38441453400000003,5.7666666666666675
MiniLM_Large,diagnostic,433.51372083028156,93.57065051369261,0.35258565333333336,5.2
MiniLM_Large,comparison,340.11054039001465,53.91130115598572,0.32667814700000003,7.0666666666666655
MiniLM_Large,specification,367.1812216440837,69.24631824976181,0.332338651,6.2
MiniLM_Large,complex_multi,347.4232355753581,46.51255357768121,0.37277335899999997,16.133333333333333
